response_var_prediction,DateTime
-2.2702721451918664,2019-12-14 06:00:00
-2.6066589489011625,2019-12-14 08:00:00
-0.4637159083741462,2019-12-14 09:00:00
1.6363317168411582,2019-12-14 10:00:00
1.897332672331836,2019-12-14 11:00:00
2.6127861691502785,2019-12-14 12:00:00
3.8519613157442367,2019-12-14 13:00:00
2.935804858027451,2019-12-14 14:00:00
1.4668193930438769,2019-12-14 15:00:00
1.0387088770721737,2019-12-14 17:00:00
-0.41756130493301713,2019-12-14 18:00:00
0.47089013670542146,2019-12-14 19:00:00
-1.049601532028574,2019-12-14 21:00:00
-0.5502611710892724,2019-12-14 22:00:00
0.8061035044978564,2019-12-14 23:00:00
1.1326171306430395,2019-12-15 00:00:00
-0.2074057807499788,2019-12-15 01:00:00
-2.407532743861326,2019-12-15 02:00:00
-3.5342640853767273,2019-12-15 03:00:00
-0.478609403129159,2019-12-15 04:00:00
-0.8329436296169019,2019-12-15 05:00:00
-2.6904395470089635,2019-12-15 06:00:00
-3.0908627764451895,2019-12-15 07:00:00
-3.809791048187143,2019-12-15 09:00:00
-4.576419628035193,2019-12-15 12:00:00
-3.2431251849024845,2019-12-15 14:00:00
-2.3585860614187077,2019-12-15 16:00:00
-1.1926873787110288,2019-12-15 17:00:00
-2.2872092934803274,2019-12-15 19:00:00
-2.506397825170507,2019-12-15 20:00:00
-1.0682585907354334,2019-12-15 23:00:00
1.5275117828727458,2019-12-16 00:00:00
1.7417680103512572,2019-12-16 01:00:00
1.7982597100860245,2019-12-16 03:00:00
1.544549198196187,2019-12-16 04:00:00
-0.758389862845446,2019-12-16 05:00:00
-1.4142113017942046,2019-12-16 06:00:00
-3.156408396050099,2019-12-16 08:00:00
-2.7836392002694366,2019-12-16 09:00:00
-1.9344990706828291,2019-12-16 10:00:00
0.5230711133857735,2019-12-16 11:00:00
0.29502510989644115,2019-12-16 12:00:00
2.8549751514266672,2019-12-16 14:00:00
3.3253474057509425,2019-12-16 15:00:00
3.5622705761995563,2019-12-16 17:00:00
1.5907408087672525,2019-12-16 19:00:00
-0.46870005284848304,2019-12-16 20:00:00
-1.2573876548657221,2019-12-16 21:00:00
-0.1608405633819885,2019-12-16 22:00:00
2.63251638292917,2019-12-16 23:00:00
5.708062041179195,2019-12-17 00:00:00
5.254127162624196,2019-12-17 01:00:00
3.4346513270514194,2019-12-17 03:00:00
0.7320324164297214,2019-12-17 04:00:00
-0.7975838811188627,2019-12-17 05:00:00
